Sample,Time measurement (s),Primary load measurement (N),Rising/Falling
1546823,63.709,-499.64893,Rising
1546823,63.809,-499.69272,Falling
1546823,63.909,-499.61539,Rising
1546823,64.009,-499.63275,Falling
1546823,64.109,-499.61267,Rising
1546823,64.209,-499.67245,Falling
1546823,64.309,-499.57114,Rising
1546823,64.409,-499.65063,Falling
1546823,64.509,-499.64352,Rising
1546823,64.609,-499.66513,Falling
1546823,64.809,-499.69391,Rising
1546823,64.909,-499.73074,Falling
1546823,65.009,-499.67929,Rising
1546823,65.109,-499.72272,Falling
1546823,65.209,-499.70605,Rising
1546823,65.309,-499.73843,Falling
1546823,65.609,-499.81244,Rising
1546823,65.709,-499.87891,Falling
1546823,65.809,-499.87711,Rising
1546823,65.909,-499.97394,Falling
1546823,66.009,-499.96078,Rising
1546823,66.109,-500.02075,Falling
1546823,66.309,-500.02844,Rising
1546823,66.409,-500.03107,Falling
1546823,66.509,-500.01712,Rising
1546823,66.608,-500.08197,Falling
1546823,66.609,-500.08179,Rising
1546823,66.637,-500.08475,Falling
1546823,66.737,-498.24695,Rising
1546823,110.237,-12.62776,Falling
1546823,110.337,-12.31641,Rising
,,,
1546824,21.084,-100.96435,Rising
1546824,21.184,-100.98161,Falling
1546824,21.284,-100.9327,Rising
1546824,21.384,-100.93531,Falling
1546824,21.484,-100.90515,Rising
1546824,22.084,-100.73164,Falling
1546824,22.184,-100.63072,Rising
1546824,22.284,-100.68484,Falling
1546824,22.384,-100.59165,Rising
1546824,22.484,-100.59573,Falling
1546824,22.584,-100.54064,Rising
1546824,22.784,-100.51866,Falling
1546824,22.884,-100.45226,Rising
1546824,22.984,-100.46548,Falling
1546824,23.084,-100.41216,Rising
1546824,23.184,-100.42484,Falling
1546824,23.284,-100.3667,Rising
1546824,24.796,-100.07628,Falling
1546824,44.396,-262.7341,Rising
1546824,44.596,-261.1904,Falling
1546824,49.596,-311.10941,Rising
1546824,49.696,-312.43451,Falling
1546824,60.913,-500.34027,Rising
1546824,61.813,-499.25504,Falling
1546824,61.913,-499.2081,Rising
1546824,62.013,-499.32498,Falling
1546824,63.413,-499.8898,Rising
1546824,63.513,-499.96884,Falling
1546824,64.313,-500.17728,Rising
1546824,64.413,-500.19913,Falling
1546824,64.513,-500.17447,Rising
1546824,64.713,-500.17123,Falling
1546824,64.813,-500.16217,Rising
1546824,65.013,-500.15704,Falling
1546824,65.113,-500.14322,Rising
1546824,65.213,-500.2063,Falling
1546824,65.313,-500.15933,Rising
1546824,65.413,-500.19968,Falling
1546824,65.513,-500.15796,Rising
1546824,65.613,-500.21063,Falling
1546824,65.712,-500.17612,Rising
1546824,65.713,-500.17892,Falling
1546824,65.846,-498.22781,Rising
,,,
1546825,20.972,-100.97704,Rising
1546825,22.072,-100.66464,Falling
1546825,22.172,-100.61559,Rising
1546825,22.972,-100.42966,Falling
1546825,23.072,-100.40704,Rising
1546825,24.372,-100.14771,Falling
1546825,40.393,-230.95692,Rising
1546825,40.493,-231.61369,Falling
1546825,43.841,-254.80437,Rising
1546825,44.041,-253.89528,Falling
1546825,61.444,-500.54413,Rising
1546825,62.344,-499.26489,Falling
1546825,62.444,-499.20984,Rising
1546825,62.544,-499.26978,Falling
1546825,62.644,-499.13837,Rising
1546825,62.744,-499.32544,Falling
1546825,62.844,-499.19522,Rising
1546825,62.944,-499.29742,Falling
1546825,63.244,-499.44437,Rising
1546825,63.444,-498.64072,Falling
1546825,64.344,-500.36401,Rising
1546825,65.644,-499.91699,Falling
1546825,65.744,-499.86584,Rising
1546825,65.944,-499.89642,Falling
1546825,66.044,-499.85815,Rising
1546825,66.144,-499.86542,Falling
1546825,66.243,-499.85339,Rising
1546825,66.244,-499.85733,Falling
1546825,66.371,-498.00522,Rising
1546825,114.071,-3.50004,Falling
1546825,114.171,-3.17243,Rising
,,,
1546826,21.431,-101.1596,Rising
1546826,21.531,-101.17976,Falling
1546826,21.631,-101.12195,Rising
1546826,21.931,-101.04277,Falling
1546826,22.031,-100.9509,Rising
1546826,22.131,-100.99393,Falling
1546826,22.231,-100.89368,Rising
1546826,22.531,-100.82592,Falling
1546826,22.631,-100.79116,Rising
1546826,23.331,-100.61098,Falling
1546826,23.431,-100.58509,Rising
1546826,23.731,-100.51805,Falling
1546826,23.831,-100.4851,Rising
1546826,24.031,-100.45721,Falling
1546826,24.131,-100.42114,Rising
1546826,24.331,-100.42397,Falling
1546826,24.431,-100.40074,Rising
1546826,24.836,-101.08918,Falling
1546826,44.436,-262.13824,Rising
1546826,44.536,-262.71637,Falling
1546826,46.336,-278.6745,Rising
1546826,46.436,-279.90738,Falling
1546826,61.01,-500.36902,Rising
1546826,61.91,-499.13992,Falling
1546826,63.21,-499.88632,Rising
1546826,63.61,-499.85138,Falling
1546826,63.71,-499.80145,Rising
1546826,64.01,-499.74042,Falling
1546826,64.11,-499.67169,Rising
1546826,64.21,-499.72327,Falling
1546826,64.31,-499.71094,Rising
1546826,64.41,-499.80884,Falling
1546826,64.51,-499.74115,Rising
1546826,64.61,-499.85992,Falling
1546826,64.71,-499.71146,Rising
1546826,64.81,-499.83548,Falling
1546826,64.91,-499.75629,Rising
1546826,65.01,-499.7637,Falling
1546826,65.21,-499.759,Rising
1546826,65.31,-499.8219,Falling
1546826,65.41,-499.75446,Rising
1546826,65.51,-499.82367,Falling
1546826,65.61,-499.79718,Rising
1546826,65.809,-499.85574,Falling
1546826,65.837,-499.84076,Rising
1546826,113.637,-3.52368,Falling
1546826,113.737,-3.1521,Rising
,,,
1546827,21.294,-101.09997,Rising
1546827,21.394,-101.111,Falling
1546827,21.594,-101.11612,Rising
1546827,22.194,-100.95425,Falling
1546827,22.294,-100.87824,Rising
1546827,22.394,-100.8847,Falling
1546827,22.494,-100.85168,Rising
1546827,22.794,-100.78449,Falling
1546827,22.894,-100.7575,Rising
1546827,23.094,-100.71804,Falling
1546827,23.194,-100.67336,Rising
1546827,23.294,-100.67402,Falling
1546827,23.394,-100.61393,Rising
1546827,23.494,-100.61815,Falling
1546827,23.594,-100.57406,Rising
1546827,23.694,-100.57699,Falling
1546827,23.794,-100.54945,Rising
1546827,24.194,-100.48767,Falling
1546827,24.294,-100.45499,Rising
1546827,24.394,-100.46311,Falling
1546827,24.494,-100.42754,Rising
1546827,24.894,-100.3702,Falling
1546827,24.993,-100.32642,Rising
1546827,25.109,-101.07713,Falling
1546827,47.909,-288.63928,Rising
1546827,48.04,-284.82257,Falling
1546827,61.138,-500.1825,Rising
1546827,62.238,-499.09839,Falling
1546827,63.438,-499.94186,Rising
1546827,64.138,-499.78741,Falling
1546827,64.238,-499.7348,Rising
1546827,64.338,-499.78445,Falling
1546827,64.438,-499.7626,Rising
1546827,64.538,-499.80362,Falling
1546827,64.738,-499.77014,Rising
1546827,64.838,-499.78802,Falling
1546827,64.938,-499.7431,Rising
1546827,65.038,-499.79285,Falling
1546827,65.138,-499.75662,Rising
1546827,65.238,-499.76181,Falling
1546827,65.338,-499.74954,Rising
1546827,65.438,-499.75562,Falling
1546827,65.638,-499.73956,Rising
1546827,65.738,-499.74957,Falling
1546827,65.938,-499.84949,Rising
1546827,65.973,-499.87167,Falling
1546827,66.073,-497.97162,Rising
,,,
1546828,21.422,-101.10931,Rising
1546828,22.622,-100.71798,Falling
1546828,22.722,-100.66825,Rising
1546828,22.922,-100.63914,Falling
1546828,23.022,-100.58576,Rising
1546828,24.122,-100.32929,Falling
1546828,24.222,-100.27854,Rising
1546828,24.322,-100.2847,Falling
1546828,24.422,-100.24532,Rising
1546828,24.622,-100.24543,Falling
1546828,24.722,-100.15911,Rising
1546828,24.821,-100.19716,Falling
1546828,24.822,-100.19647,Rising
1546828,24.945,-100.98181,Falling
1546828,39.145,-210.578,Rising
1546828,39.245,-211.38773,Falling
1546828,47.445,-281.27631,Rising
1546828,47.545,-282.33173,Falling
1546828,61.638,-500.73129,Rising
1546828,62.838,-499.23636,Falling
1546828,62.938,-499.21927,Rising
1546828,63.038,-499.23172,Falling
1546828,63.338,-499.33295,Rising
1546828,63.438,-499.42157,Falling
1546828,64.638,-499.91333,Rising
1546828,64.738,-499.97107,Falling
1546828,65.338,-500.04791,Rising
1546828,65.438,-500.10538,Falling
1546828,65.538,-500.01306,Rising
1546828,65.638,-500.08337,Falling
1546828,65.738,-500.00281,Rising
1546828,65.838,-500.10657,Falling
1546828,65.938,-500.00131,Rising
1546828,66.038,-500.07605,Falling
1546828,66.138,-500.0546,Rising
1546828,66.338,-500.07672,Falling
1546828,66.437,-500.05786,Rising
1546828,66.464,-500.06985,Falling
1546828,66.564,-498.00751,Rising
,,,
1546829,21.421,-101.04613,Rising
1546829,21.521,-101.05479,Falling
1546829,21.621,-101.0435,Rising
1546829,22.421,-100.89731,Falling
1546829,22.521,-100.8354,Rising
1546829,22.621,-100.83589,Falling
1546829,22.721,-100.78754,Rising
1546829,23.921,-100.4796,Falling
1546829,24.021,-100.43503,Rising
1546829,24.821,-100.32066,Falling
1546829,24.921,-100.27359,Rising
1546829,25.021,-100.27574,Falling
1546829,25.12,-100.24414,Rising
1546829,25.121,-100.24596,Falling
1546829,42.535,-241.31532,Rising
1546829,42.735,-239.9162,Falling
1546829,61.342,-500.27948,Rising
1546829,62.242,-499.59494,Falling
1546829,62.542,-499.6312,Rising
1546829,62.642,-499.65259,Falling
1546829,62.842,-499.61026,Rising
1546829,62.942,-499.62936,Falling
1546829,63.042,-499.61261,Rising
1546829,63.142,-499.63184,Falling
1546829,63.242,-499.62952,Rising
1546829,63.342,-499.66736,Falling
1546829,63.442,-499.64459,Rising
1546829,63.542,-499.7247,Falling
1546829,63.942,-499.74341,Rising
1546829,64.042,-499.74847,Falling
1546829,64.542,-499.80521,Rising
1546829,64.642,-499.86472,Falling
1546829,65.042,-500.03052,Rising
1546829,65.142,-500.07159,Falling
1546829,65.342,-500.0574,Rising
1546829,65.442,-500.08435,Falling
1546829,65.642,-500.09756,Rising
1546829,65.742,-500.12906,Falling
1546829,66.141,-500.16721,Rising
1546829,66.161,-500.19855,Falling
1546829,66.261,-498.48257,Rising
,,,
1546830,21.837,-100.87708,Rising
1546830,21.937,-100.88486,Falling
1546830,22.037,-100.8559,Rising
1546830,24.637,-100.25947,Falling
1546830,24.737,-100.25837,Rising
1546830,25.337,-100.15839,Falling
1546830,25.437,-100.11301,Rising
1546830,25.537,-100.11524,Falling
1546830,25.637,-100.09834,Rising
1546830,25.763,-100.08326,Falling
1546830,45.163,-239.08319,Rising
1546830,45.363,-238.98093,Falling
1546830,55.039,-322.33905,Rising
1546830,55.193,-217.78419,Falling
1546830,69.54,-500.31335,Rising
1546830,70.04,-499.81351,Falling
1546830,70.14,-499.68701,Rising
1546830,70.24,-499.7085,Falling
1546830,70.34,-499.5593,Rising
1546830,70.74,-499.39224,Falling
1546830,70.84,-499.29291,Rising
1546830,70.94,-499.34497,Falling
1546830,71.04,-499.31335,Rising
1546830,71.14,-499.32132,Falling
1546830,71.24,-499.31888,Rising
1546830,71.34,-499.3891,Falling
1546830,71.44,-499.3826,Rising
1546830,71.54,-499.48151,Falling
1546830,72.34,-499.86182,Rising
1546830,72.44,-499.94424,Falling
1546830,72.54,-499.89893,Rising
1546830,72.64,-500.05661,Falling
1546830,72.74,-499.99466,Rising
1546830,72.84,-500.1015,Falling
1546830,72.94,-500.08737,Rising
1546830,73.04,-500.18948,Falling
1546830,73.44,-500.25516,Rising
1546830,73.54,-500.27896,Falling
1546830,73.64,-500.20844,Rising
1546830,73.74,-500.24515,Falling
1546830,73.84,-500.18091,Rising
1546830,73.94,-500.23444,Falling
1546830,74.04,-500.16821,Rising
1546830,74.14,-500.19254,Falling
1546830,74.339,-500.19211,Rising
1546830,103.87,-0.68018,Falling
1546830,104.57,-0.74091,Rising
,,,
1546831,21.354,-101.09015,Rising
1546831,21.454,-101.10281,Falling
1546831,21.554,-101.0528,Rising
1546831,21.654,-101.08977,Falling
1546831,21.754,-101.05573,Rising
1546831,22.054,-101.00682,Falling
1546831,22.154,-100.9519,Rising
1546831,22.954,-100.73732,Falling
1546831,23.054,-100.67385,Rising
1546831,24.054,-100.46777,Falling
1546831,24.154,-100.42125,Rising
1546831,25.153,-100.24018,Falling
1546831,25.176,-100.22356,Rising
1546831,25.276,-101.02274,Falling
1546831,41.347,-226.44785,Rising
1546831,41.566,-221.88591,Falling
1546831,61.832,-500.202,Rising
1546831,62.532,-499.53732,Falling
1546831,62.632,-499.52274,Rising
1546831,62.732,-499.55511,Falling
1546831,63.232,-499.77686,Rising
1546831,63.832,-499.69223,Falling
1546831,64.132,-499.77301,Rising
1546831,64.432,-499.7316,Falling
1546831,64.532,-499.70621,Rising
1546831,64.832,-499.70523,Falling
1546831,65.532,-499.91071,Rising
1546831,65.632,-499.95288,Falling
1546831,65.832,-499.95929,Rising
1546831,65.932,-499.95975,Falling
1546831,66.632,-500.17004,Rising
1546831,66.659,-500.19049,Falling
1546831,66.759,-498.54434,Rising
,,,
1546832,22.435,-101.28295,Rising
1546832,22.535,-101.30298,Falling
1546832,22.635,-101.2382,Rising
1546832,24.935,-100.58944,Falling
1546832,25.035,-100.54892,Rising
1546832,25.235,-100.52584,Falling
1546832,25.335,-100.48903,Rising
1546832,25.735,-100.42906,Falling
1546832,25.835,-100.40157,Rising
1546832,26.085,-101.11936,Falling
1546832,50.985,-324.70416,Rising
1546832,51.253,-320.83725,Falling
1546832,61.676,-500.46164,Rising
1546832,62.876,-499.08841,Falling
1546832,63.476,-499.3259,Rising
1546832,63.576,-499.38522,Falling
1546832,65.376,-500.17709,Rising
1546832,65.476,-500.23889,Falling
1546832,65.576,-500.22418,Rising
1546832,65.676,-500.23865,Falling
1546832,65.776,-500.23251,Rising
1546832,65.976,-500.23734,Falling
1546832,66.076,-500.15866,Rising
1546832,66.176,-500.1788,Falling
1546832,66.276,-500.13025,Rising
1546832,66.376,-500.18686,Falling
1546832,66.475,-500.14883,Rising
,,,
1546833,20.587,-101.13882,Rising
1546833,20.687,-101.14573,Falling
1546833,20.787,-101.10645,Rising
1546833,24.211,-101.03886,Falling
1546833,42.311,-249.789,Rising
1546833,42.411,-250.76106,Falling
1546833,44.91,-266.67639,Rising
1546833,45.11,-267.39258,Falling
1546833,61.101,-500.90872,Rising
1546833,62.401,-499.16556,Falling
1546833,62.501,-499.15009,Rising
1546833,62.701,-499.15512,Falling
1546833,62.801,-499.13907,Rising
1546833,62.901,-499.19153,Falling
1546833,63.301,-499.28171,Rising
1546833,63.401,-499.32416,Falling
1546833,63.901,-499.52176,Rising
1546833,64.001,-499.61697,Falling
1546833,64.401,-499.70074,Rising
1546833,64.501,-499.76276,Falling
1546833,65.301,-500.07968,Rising
1546833,65.601,-500.11493,Falling
1546833,65.901,-500.1958,Rising
1546833,65.924,-500.24615,Falling
1546833,66.024,-498.64194,Rising
